Acronym,Name,Hemisphere ID
Left: FRP1,"Frontal pole, layer 1",3
Right: FRP1,"Frontal pole, layer 1",3
Left: FRP2/3,"Frontal pole, layer 2/3",3
Right: FRP2/3,"Frontal pole, layer 2/3",3
Left: FRP5,"Frontal pole, layer 5",3
Right: FRP5,"Frontal pole, layer 5",3
Left: FRP6a,"Frontal pole, layer 6a",3
Right: FRP6a,"Frontal pole, layer 6a",3
Left: FRP6b,"Frontal pole, layer 6b",3
Right: FRP6b,"Frontal pole, layer 6b",3
Left: MO1,"Somatomotor areas, Layer 1",3
Right: MO1,"Somatomotor areas, Layer 1",3
Left: MO2/3,"Somatomotor areas, Layer 2/3",3
Right: MO2/3,"Somatomotor areas, Layer 2/3",3
Left: MO5,"Somatomotor areas, Layer 5",3
Right: MO5,"Somatomotor areas, Layer 5",3
Left: MO6a,"Somatomotor areas, Layer 6a",3
Right: MO6a,"Somatomotor areas, Layer 6a",3
Left: MO6b,"Somatomotor areas, Layer 6b",3
Right: MO6b,"Somatomotor areas, Layer 6b",3
Left: MOp1,"Primary motor area, Layer 1",3
Right: MOp1,"Primary motor area, Layer 1",3
Left: MOp2/3,"Primary motor area, Layer 2/3",3
Right: MOp2/3,"Primary motor area, Layer 2/3",3
Left: MOp5,"Primary motor area, Layer 5",3
Right: MOp5,"Primary motor area, Layer 5",3
Left: MOp6a,"Primary motor area, Layer 6a",3
Right: MOp6a,"Primary motor area, Layer 6a",3
Left: MOp6b,"Primary motor area, Layer 6b",3
Right: MOp6b,"Primary motor area, Layer 6b",3
Left: MOs1,"Secondary motor area, layer 1",3
Right: MOs1,"Secondary motor area, layer 1",3
Left: MOs2/3,"Secondary motor area, layer 2/3",3
Right: MOs2/3,"Secondary motor area, layer 2/3",3
Left: MOs5,"Secondary motor area, layer 5",3
Right: MOs5,"Secondary motor area, layer 5",3
Left: MOs6a,"Secondary motor area, layer 6a",3
Right: MOs6a,"Secondary motor area, layer 6a",3
Left: MOs6b,"Secondary motor area, layer 6b",3
Right: MOs6b,"Secondary motor area, layer 6b",3
Left: SS1,"Somatosensory areas, layer 1",3
Right: SS1,"Somatosensory areas, layer 1",3
Left: SS2/3,"Somatosensory areas, layer 2/3",3
Right: SS2/3,"Somatosensory areas, layer 2/3",3
Left: SS4,"Somatosensory areas, layer 4",3
Right: SS4,"Somatosensory areas, layer 4",3
Left: SS5,"Somatosensory areas, layer 5",3
Right: SS5,"Somatosensory areas, layer 5",3
Left: SS6a,"Somatosensory areas, layer 6a",3
Right: SS6a,"Somatosensory areas, layer 6a",3
Left: SS6b,"Somatosensory areas, layer 6b",3
Right: SS6b,"Somatosensory areas, layer 6b",3
Left: SSp1,"Primary somatosensory area, layer 1",3
Right: SSp1,"Primary somatosensory area, layer 1",3
Left: SSp2/3,"Primary somatosensory area, layer 2/3",3
Right: SSp2/3,"Primary somatosensory area, layer 2/3",3
Left: SSp4,"Primary somatosensory area, layer 4",3
Right: SSp4,"Primary somatosensory area, layer 4",3
Left: SSp5,"Primary somatosensory area, layer 5",3
Right: SSp5,"Primary somatosensory area, layer 5",3
Left: SSp6a,"Primary somatosensory area, layer 6a",3
Right: SSp6a,"Primary somatosensory area, layer 6a",3
Left: SSp6b,"Primary somatosensory area, layer 6b",3
Right: SSp6b,"Primary somatosensory area, layer 6b",3
Left: SSp-n1,"Primary somatosensory area, nose, layer 1",3
Right: SSp-n1,"Primary somatosensory area, nose, layer 1",3
Left: SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",3
Right: SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",3
Left: SSp-n4,"Primary somatosensory area, nose, layer 4",3
Right: SSp-n4,"Primary somatosensory area, nose, layer 4",3
Left: SSp-n5,"Primary somatosensory area, nose, layer 5",3
Right: SSp-n5,"Primary somatosensory area, nose, layer 5",3
Left: SSp-n6a,"Primary somatosensory area, nose, layer 6a",3
Right: SSp-n6a,"Primary somatosensory area, nose, layer 6a",3
Left: SSp-n6b,"Primary somatosensory area, nose, layer 6b",3
Right: SSp-n6b,"Primary somatosensory area, nose, layer 6b",3
Left: SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",3
Right: SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",3
Left: SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",3
Right: SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",3
Left: SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",3
Right: SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",3
Left: SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",3
Right: SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",3
Left: SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",3
Right: SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",3
Left: SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",3
Right: SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",3
Left: VISrll1,"Rostrolateral lateral visual area, layer 1",3
Right: VISrll1,"Rostrolateral lateral visual area, layer 1",3
Left: VISrll2/3,"Rostrolateral lateral visual area, layer 2/3",3
Right: VISrll2/3,"Rostrolateral lateral visual area, layer 2/3",3
Left: VISrll4,"Rostrolateral lateral visual area, layer 4",3
Right: VISrll4,"Rostrolateral lateral visual area, layer 4",3
Left: VISrll5,"Rostrolateral lateral visual area,layer 5",3
Right: VISrll5,"Rostrolateral lateral visual area,layer 5",3
Left: VISrll6a,"Rostrolateral lateral visual area, layer 6a",3
Right: VISrll6a,"Rostrolateral lateral visual area, layer 6a",3
Left: VISrll6b,"Rostrolateral lateral visual area, layer 6b",3
Right: VISrll6b,"Rostrolateral lateral visual area, layer 6b",3
Left: SSp-ll1,"Primary somatosensory area, lower limb, layer 1",3
Right: SSp-ll1,"Primary somatosensory area, lower limb, layer 1",3
Left: SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",3
Right: SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",3
Left: SSp-ll4,"Primary somatosensory area, lower limb, layer 4",3
Right: SSp-ll4,"Primary somatosensory area, lower limb, layer 4",3
Left: SSp-ll5,"Primary somatosensory area, lower limb, layer 5",3
Right: SSp-ll5,"Primary somatosensory area, lower limb, layer 5",3
Left: SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",3
Right: SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",3
Left: SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",3
Right: SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",3
Left: SSp-m1,"Primary somatosensory area, mouth, layer 1",3
Right: SSp-m1,"Primary somatosensory area, mouth, layer 1",3
Left: SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",3
Right: SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",3
Left: SSp-m4,"Primary somatosensory area, mouth, layer 4",3
Right: SSp-m4,"Primary somatosensory area, mouth, layer 4",3
Left: SSp-m5,"Primary somatosensory area, mouth, layer 5",3
Right: SSp-m5,"Primary somatosensory area, mouth, layer 5",3
Left: SSp-m6a,"Primary somatosensory area, mouth, layer 6a",3
Right: SSp-m6a,"Primary somatosensory area, mouth, layer 6a",3
Left: SSp-m6b,"Primary somatosensory area, mouth, layer 6b",3
Right: SSp-m6b,"Primary somatosensory area, mouth, layer 6b",3
Left: SSp-ul1,"Primary somatosensory area, upper limb, layer 1",3
Right: SSp-ul1,"Primary somatosensory area, upper limb, layer 1",3
Left: SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",3
Right: SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",3
Left: SSp-ul4,"Primary somatosensory area, upper limb, layer 4",3
Right: SSp-ul4,"Primary somatosensory area, upper limb, layer 4",3
Left: SSp-ul5,"Primary somatosensory area, upper limb, layer 5",3
Right: SSp-ul5,"Primary somatosensory area, upper limb, layer 5",3
Left: SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",3
Right: SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",3
Left: SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",3
Right: SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",3
